[2025-04-12 15:14:39] Микрофон 0: Microphone (2- Vault)
[2025-04-12 15:14:39] Микрофон 1: Microphone (Vault)
[2025-04-12 15:14:39] [StartConnectionAsync] Подключение установлено. UserID: 4
[2025-04-12 15:14:44] [StartCallAsync] Начало вызова. Комната: 55, Caller: 4, Участники: 2
[2025-04-12 15:14:44] [VoiceClient] Запуск записи...
[2025-04-12 15:14:44] [StartRecording] Запуск записи...
[2025-04-12 15:14:44] [StartRecording] Запись началась!
[2025-04-12 15:14:44] [VoiceClient] Запись запущена.
[2025-04-12 15:15:01] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:01] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:01] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:02] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:03] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:04] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:05] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:06] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:07] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:15:08] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
